consensus_line,num_bookmakers,avg_vig,over_best_odds,over_best_book,over_avg_odds,over_worst_odds,over_worst_book,under_best_odds,under_best_book,under_avg_odds,under_worst_odds,under_worst_book,best_market_vig,avg_market_vig,is_arbitrage,arb_opportunity,arb_profit_pct,alternative_lines,num_alternative_lines,date,player,game
2.5,8,6.87,-108,betrivers,-114.4,-118,draftkings,-110,draftkings,-115.2,-124,betrivers,4.3,6.9,False,0,0.0,,0,2025-10-22,Sam Hauser,Philadelphia 76ers @ Boston Celtics
2.5,6,6.71,110,fanduel,33.2,-110,betmgm,-118,betmgm,-131.2,-146,fanduel,1.75,31.84,False,0,0.0,,0,2025-10-22,Sam Merrill,Cleveland Cavaliers @ New York Knicks
0.5,5,7.67,-200,betonlineag,-217.4,-225,williamhill_us,165,draftkings,155.4,140,fanatics,4.4,7.65,False,0,0.0,,0,2025-10-22,Scottie Barnes,Toronto Raptors @ Atlanta Hawks
4.5,7,6.92,-110,fanduel,-115.4,-120,williamhill_us,-110,betmgm,-114.4,-120,fanduel,4.76,6.95,False,0,0.0,[3.5],1,2025-10-22,Stephen Curry,Golden State Warriors @ Los Angeles Lakers
0.5,5,7.18,-175,betmgm,-181.8,-190,fanatics,143,draftkings,134.4,130,williamhill_us,4.79,7.18,False,0,0.0,,0,2025-10-22,Terance Mann,Brooklyn Nets @ Charlotte Hornets
2.5,6,6.87,145,bovada,-115.8,-172,draftkings,132,draftkings,73.2,-190,bovada,-16.08,11.42,True,1,16.08,[3.5],1,2025-10-22,Trae Young,Toronto Raptors @ Atlanta Hawks
0.5,6,7.5,-227,draftkings,-234.8,-250,fanatics,174,fanduel,167.7,155,fanatics,5.92,7.49,False,0,0.0,,0,2025-10-22,Tre Mann,Brooklyn Nets @ Charlotte Hornets
2.5,8,7.07,135,bovada,-132.4,-185,betmgm,135,betmgm,88.5,-180,bovada,-14.89,10.02,True,1,14.89,,0,2025-10-22,Tyrese Maxey,Philadelphia 76ers @ Boston Celtics
1.5,7,6.86,131,draftkings,116.7,105,betmgm,-140,betmgm,-154.6,-170,draftkings,1.62,6.86,False,0,0.0,,0,2025-10-22,Tyus Jones,Miami Heat @ Orlando Magic
1.5,8,6.85,109,draftkings,-28.8,-115,betmgm,-115,betmgm,-127.5,-141,draftkings,1.34,-21.63,False,0,0.0,,0,2025-10-22,VJ Edgecombe,Philadelphia 76ers @ Boston Celtics
0.5,1,6.8,-145,betmgm,-145.0,-145,betmgm,110,betmgm,110.0,110,betmgm,6.8,6.8,False,0,0.0,,0,2025-10-22,Wendell Carter Jr,Miami Heat @ Orlando Magic
1.5,8,6.82,-103,draftkings,-118.4,-135,bovada,105,bovada,-86.6,-125,draftkings,-0.48,0.62,True,1,0.48,,0,2025-10-22,Zaccharie Risacher,Toronto Raptors @ Atlanta Hawks
1.5,8,6.82,118,betrivers,110.6,100,betmgm,-130,bovada,-146.0,-158,fanduel,2.39,6.83,False,0,0.0,,0,2025-10-22,Ziaire Williams,Brooklyn Nets @ Charlotte Hornets
2.5,7,6.88,120,betmgm,46.0,-105,fanatics,-125,fanatics,-136.3,-160,betmgm,1.01,26.17,False,0,0.0,,0,2025-10-23,A.J. Green,Washington Wizards @ Milwaukee Bucks
2.5,7,6.73,117,betonlineag,115.1,112,betrivers,-145,fanatics,-151.6,-155,betmgm,5.27,6.73,False,0,0.0,[1.5],1,2025-10-23,Aaron Nesmith,Oklahoma City Thunder @ Indiana Pacers
1.5,8,6.84,-125,fanatics,-130.6,-136,draftkings,105,draftkings,-0.9,-106,fanduel,4.34,-42.49,False,0,0.0,,0,2025-10-23,Aaron Wiggins,Oklahoma City Thunder @ Indiana Pacers
1.5,3,6.74,145,bovada,140.3,135,betmgm,-185,betmgm,-186.7,-190,bovada,5.73,6.73,False,0,0.0,,0,2025-10-23,Ace Bailey,Los Angeles Clippers @ Utah Jazz
