player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
Nickeil Alexander-Walker,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:55:59Z,121,-160
Onyeka Okongwu,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:55:59Z,-129,-102
Kristaps Porzingis,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:55:59Z,-126,-105
Zaccharie Risacher,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:55:59Z,-123,-107
Jalen Johnson,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:55:59Z,116,-153
Keldon Johnson,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:55:59Z,140,-185
Devin Vassell,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:55:49Z,110,-148
Harrison Barnes,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:55:49Z,108,-143
Nickeil Alexander-Walker,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:55:49Z,115,-154
Zaccharie Risacher,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:55:49Z,-120,-112
Jalen Johnson,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:55:49Z,120,-162
De'Aaron Fox,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:55:49Z,116,-154
Onyeka Okongwu,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:55:49Z,-120,-112
Keldon Johnson,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:55:49Z,150,-205
Kristaps Porzingis,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:55:49Z,-114,-117
Julian Champagnie,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,williamhill_us,2025-11-20T14:54:57Z,2025-11-20T14:55:49Z,112,-150
Jalen Johnson,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:43Z,115,-155
Dyson Daniels,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,0.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:43Z,145,-200
Zaccharie Risacher,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:43Z,-115,-118
Kelly Olynyk,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,0.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:43Z,-110,-118
Julian Champagnie,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:43Z,110,-150
Harrison Barnes,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:43Z,105,-145
Nickeil Alexander-Walker,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betmgm,2025-11-20T14:54:48Z,2025-11-20T14:55:43Z,115,-155
