game_date,player_name,team,opponent,points_line,team_spread,line_tier,spread_bin,scorer_type,strategy_key,bet_side,strategy_roi,strategy_edge,strategy_hit_rate,strategy_games,actual_points,result,margin,profit
2025-10-22,Lonzo Ball,Cleveland Cavaliers,CLE @ NYK,7.5,-1.6363636363636365,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,3,WIN,-4.5,100.0
2025-10-22,Chris Paul,Los Angeles Clippers,LAC @ UTA,5.5,-9.590909090909092,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),2,OVER,11.1,9.8,58.2,208,4,LOSS,-1.5,-110.0
2025-10-22,Jaylon Tyson,Cleveland Cavaliers,CLE @ NYK,7.409090909090909,-1.6363636363636365,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),0,UNDER,26.0,14.4,66.0,100,5,WIN,-2.409090909090909,100.0
2025-10-22,Isaac Okoro,Chicago Bulls,CHI vs. DET,7.5,3.1818181818181817,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,0,LOSS,-7.5,-110.0
2025-10-22,Tyus Jones,Orlando Magic,ORL vs. MIA,8.409090909090908,-8.272727272727273,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),2,OVER,11.1,9.8,58.2,208,0,LOSS,-8.409090909090908,-110.0
2025-10-22,Jordan Clarkson,New York Knicks,NYK vs. CLE,11.5,1.6363636363636365,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,4,LOSS,-7.5,-110.0
2025-10-22,Adem Bona,Philadelphia 76ers,PHI @ BOS,6.5,5.0,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,0,LOSS,-6.5,-110.0
2025-10-23,Aaron Gordon,Denver Nuggets,DEN @ GSW,14.5,1.4090909090909092,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),18,OVER,5.4,6.8,55.2,164,50,WIN,35.5,100.0
2025-10-23,Jamal Murray,Denver Nuggets,DEN @ GSW,21.394736842105264,1.4090909090909092,20-25 (Star),Pick'em (-2 to +2),Perimeter (<40.0%),13,OVER,6.7,7.5,55.9,68,25,WIN,3.6052631578947363,100.0
2025-10-23,Jimmy Butler III,Golden State Warriors,GSW vs. DEN,18.735294117647054,-1.4090909090909092,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),1,UNDER,11.9,7.0,58.6,58,21,LOSS,2.2647058823529456,-110.0
2025-10-23,Draymond Green,Golden State Warriors,GSW vs. DEN,8.7,-1.4090909090909092,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,13,LOSS,4.300000000000001,-110.0
2025-10-23,Al Horford,Golden State Warriors,GSW vs. DEN,6.5,-1.4090909090909092,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,13,LOSS,6.5,-110.0
2025-10-23,Jonathan Kuminga,Golden State Warriors,GSW vs. DEN,15.9375,-1.4090909090909092,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),1,UNDER,11.9,7.0,58.6,58,14,WIN,-1.9375,100.0
