player,player_id,paint_fga,paint_fgm,paint_fg_pct,paint_rate,paint_ppg,games,rank
Ja Morant,1629630,107,59,55.1,36.4,6.6,18,261
Kevin Porter Jr.,1629645,98,54,55.1,34.3,5.1,21,262
LaMelo Ball,1630163,129,71,55.0,25.4,4.9,29,263
Collin Gillespie,1631221,60,33,55.0,14.0,2.2,30,264
Andre Drummond,203083,126,69,54.8,70.4,4.5,31,265
Jusuf Nurkić,203994,168,92,54.8,63.9,5.8,32,266
Jamal Murray,1627750,186,102,54.8,27.5,5.8,35,267
Tim Hardaway Jr.,203501,53,29,54.7,13.7,1.8,32,268
Derrick White,1628401,95,52,54.7,15.4,3.1,34,269
Noah Clowney,1641730,95,52,54.7,25.2,3.2,32,270
Bilal Coulibaly,1641731,97,53,54.6,46.6,4.4,24,271
Anfernee Simons,1629014,66,36,54.5,15.5,2.5,29,272
Malaki Branham,1631103,33,18,54.5,53.2,2.8,13,273
Jerami Grant,203924,145,79,54.5,40.5,6.1,26,274
Davion Mitchell,1630558,123,67,54.5,42.0,3.8,35,275
Tobias Harris,202699,88,48,54.5,36.1,4.6,21,276
Brandon Williams,1630314,173,94,54.3,53.9,5.5,34,277
Dylan Harper,1642844,162,88,54.3,56.1,5.9,30,278
Clint Capela,203991,94,51,54.3,94.9,3.3,31,279
Aaron Wiggins,1630598,94,51,54.3,38.5,4.1,25,280
Dylan Cardwell,1642928,37,20,54.1,82.2,4.0,10,281
Myles Turner,1626167,93,50,53.8,25.1,2.9,34,282
Sidy Cissoko,1631321,52,28,53.8,28.3,2.4,23,283
Jaylen Wells,1642377,95,51,53.7,23.9,2.7,38,284
Josh Giddey,1630581,209,112,53.6,48.7,7.5,30,285
Tony Bradley,1628396,69,37,53.6,80.2,2.7,27,286
Jaden Ivey,1631093,56,30,53.6,35.7,2.7,22,287
Devin Vassell,1630170,43,23,53.5,10.8,2.3,20,288
Daniss Jenkins,1642450,66,35,53.0,32.8,3.5,20,289
Kyle Anderson,203937,51,27,52.9,68.9,4.5,12,290
Trae Young,1629027,36,19,52.8,26.7,3.8,10,291
Cam Thomas,1630560,55,29,52.7,25.2,4.5,13,292
Kristaps Porziņģis,204001,57,30,52.6,27.1,3.5,17,293
CJ McCollum,203468,128,67,52.3,22.6,3.6,37,294
Royce O'Neale,1626220,44,23,52.3,13.0,2.0,23,295
VJ Edgecombe,1642845,180,94,52.2,37.9,5.5,34,296
Yang Hansen,1642905,25,13,52.0,38.5,1.6,16,297
Tyrese Proctor,1642878,25,13,52.0,20.3,2.0,13,298
Jordan Goodwin,1630692,102,53,52.0,32.0,3.4,31,299
Jalen Pickett,1629618,27,14,51.9,22.5,1.8,16,300
Christian Koloko,1631132,27,14,51.9,77.1,2.8,10,301
Micah Peavy,1642877,85,44,51.8,47.5,3.1,28,302
Jeremiah Fears,1642847,271,140,51.7,52.0,6.7,42,303
Cason Wallace,1641717,97,50,51.5,36.9,2.8,36,304
Caleb Martin,1628997,33,17,51.5,54.1,1.8,19,305
Bryce McGowens,1631121,74,38,51.4,52.1,3.8,20,306
Tyrese Martin,1631213,70,36,51.4,31.2,2.5,29,307
Nikola Jović,1631107,82,42,51.2,38.7,3.2,26,308
Caleb Love,1631126,90,46,51.1,26.8,2.9,32,309
Kentavious Caldwell-Pope,203484,57,29,50.9,21.1,2.0,29,310
Nick Richards,1630208,53,27,50.9,74.6,2.7,20,311
Steven Adams,203500,120,61,50.8,92.3,4.2,29,312
Khris Middleton,203114,40,20,50.0,19.0,2.2,18,313
Gary Trent Jr.,1629018,30,15,50.0,10.2,1.7,18,314
Dru Smith,1630696,86,43,50.0,43.9,2.3,38,315
Cole Anthony,1630175,50,25,50.0,28.1,2.3,22,316
Darius Garland,1629636,96,48,50.0,26.4,3.8,25,317
Dennis Schröder,203471,95,47,49.5,28.4,3.4,28,318
Pat Spencer,1630311,53,26,49.1,36.8,2.6,20,319
Ben Sheppard,1641767,55,27,49.1,29.9,2.2,24,320
Egor Dëmin,1642856,55,27,49.1,18.8,2.1,26,321
Walter Clayton Jr.,1642383,43,21,48.8,22.5,1.7,25,322
Herbert Jones,1630529,78,38,48.7,38.4,3.5,22,323
Jamal Shead,1642347,74,36,48.6,28.2,2.2,32,324
Bennedict Mathurin,1631097,95,46,48.4,30.0,4.2,22,325
