season,week,game_id,team1,team1_score,team1_adj_score,team2,team2_score,team2_adj_score,actual_diff,adj_diff,luck_delta,lucky_team,lucky_team_score,lucky_team_adj_score,lucky_team_overperf,unlucky_team,unlucky_team_score,unlucky_team_adj_score,unlucky_team_underperf
2025,7,2025_07_IND_LAC,IND,38,28.9,LAC,24,22.1,14,6.799999999999997,7.200000000000003,IND,38,28.9,9.100000000000001,LAC,24,22.1,1.8999999999999986
2025,7,2025_07_LA_JAX,JAX,7,17.8,LA,35,26.0,-28,-8.2,19.8,LA,35,26.0,9.0,JAX,7,17.8,-10.8
2025,7,2025_07_LV_KC,KC,31,30.7,LV,0,-0.1,31,30.8,0.1999999999999993,KC,31,30.7,0.3000000000000007,LV,0,-0.1,0.1
2025,7,2025_07_MIA_CLE,CLE,31,17.0,MIA,6,8.3,25,8.7,16.3,CLE,31,17.0,14.0,MIA,6,8.3,-2.3000000000000007
2025,7,2025_07_NE_TEN,NE,31,26.0,TEN,13,13.6,18,12.4,5.6,NE,31,26.0,5.0,TEN,13,13.6,-0.5999999999999996
2025,7,2025_07_NO_CHI,CHI,26,21.7,NO,14,17.1,12,4.599999999999998,7.400000000000002,CHI,26,21.7,4.300000000000001,NO,14,17.1,-3.1000000000000014
2025,7,2025_07_NYG_DEN,DEN,33,24.3,NYG,32,22.0,1,2.3000000000000007,1.3000000000000007,NYG,32,22.0,10.0,DEN,33,24.3,8.7
2025,7,2025_07_PHI_MIN,MIN,22,23.9,PHI,28,20.5,-6,3.3999999999999986,9.399999999999999,PHI,28,20.5,7.5,MIN,22,23.9,-1.8999999999999986
2025,7,2025_07_PIT_CIN,CIN,33,28.9,PIT,31,24.8,2,4.099999999999998,2.099999999999998,PIT,31,24.8,6.199999999999999,CIN,33,28.9,4.100000000000001
2025,7,2025_07_TB_DET,DET,24,22.9,TB,9,16.9,15,6.0,9.0,DET,24,22.9,1.1000000000000014,TB,9,16.9,-7.899999999999999
2025,7,2025_07_WAS_DAL,DAL,44,28.0,WAS,22,23.9,22,4.100000000000001,17.9,DAL,44,28.0,16.0,WAS,22,23.9,-1.8999999999999986
2025,8,2025_08_BUF_CAR,BUF,40,30.5,CAR,9,13.3,31,17.2,13.8,BUF,40,30.5,9.5,CAR,9,13.3,-4.300000000000001
2025,8,2025_08_CHI_BAL,BAL,30,22.9,CHI,16,20.9,14,2.0,12.0,BAL,30,22.9,7.100000000000001,CHI,16,20.9,-4.899999999999999
2025,8,2025_08_CLE_NE,CLE,13,12.8,NE,32,27.1,-19,-14.3,4.699999999999999,NE,32,27.1,4.899999999999999,CLE,13,12.8,0.1999999999999993
2025,8,2025_08_DAL_DEN,DAL,24,24.9,DEN,44,32.3,-20,-7.399999999999999,12.600000000000001,DEN,44,32.3,11.700000000000003,DAL,24,24.9,-0.8999999999999986
2025,8,2025_08_GB_PIT,GB,35,30.7,PIT,25,16.2,10,14.5,4.5,PIT,25,16.2,8.8,GB,35,30.7,4.300000000000001
2025,8,2025_08_MIA_ATL,ATL,10,13.4,MIA,34,27.6,-24,-14.200000000000001,9.799999999999999,MIA,34,27.6,6.399999999999999,ATL,10,13.4,-3.4000000000000004
2025,8,2025_08_MIN_LAC,LAC,37,28.2,MIN,10,11.1,27,17.1,9.899999999999999,LAC,37,28.2,8.8,MIN,10,11.1,-1.0999999999999996
2025,8,2025_08_NYG_PHI,NYG,20,15.8,PHI,38,26.8,-18,-11.0,7.0,PHI,38,26.8,11.2,NYG,20,15.8,4.199999999999999
2025,8,2025_08_NYJ_CIN,CIN,38,32.6,NYJ,39,32.9,-1,-0.29999999999999716,0.7000000000000028,NYJ,39,32.9,6.100000000000001,CIN,38,32.6,5.399999999999999
2025,8,2025_08_SF_HOU,HOU,26,26.0,SF,15,18.2,11,7.800000000000001,3.1999999999999993,HOU,26,26.0,0.0,SF,15,18.2,-3.1999999999999993
2025,8,2025_08_TB_NO,NO,3,11.1,TB,23,15.2,-20,-4.1,15.9,TB,23,15.2,7.800000000000001,NO,3,11.1,-8.1
2025,8,2025_08_TEN_IND,IND,38,27.0,TEN,14,20.4,24,6.600000000000001,17.4,IND,38,27.0,11.0,TEN,14,20.4,-6.399999999999999
2025,8,2025_08_WAS_KC,KC,28,25.5,WAS,7,16.2,21,9.3,11.7,KC,28,25.5,2.5,WAS,7,16.2,-9.2
