original_week,luck_delta,lucky_team,lucky_team_overperf,lucky_next_score,lucky_next_adj_score,lucky_next_diff,lucky_won_next,unlucky_team,unlucky_team_underperf,unlucky_next_score,unlucky_next_adj_score,unlucky_next_diff,unlucky_won_next,luck_bin
6,5.0,NE,3.8000000000000007,31,26.0,5.0,1,NO,-1.1999999999999993,14,17.1,-3.1000000000000014,0,3 to 7
6,13.900000000000002,NYG,9.8,32,22.0,10.0,0,PHI,-4.100000000000001,28,20.5,7.5,1,10 to 15
6,4.5,SEA,-1.6000000000000014,27,23.3,3.6999999999999993,1,JAX,-6.100000000000001,7,17.8,-10.8,0,3 to 7
6,5.199999999999999,TB,3.1999999999999993,9,16.9,-7.899999999999999,0,SF,-2.0,20,23.7,-3.6999999999999993,1,3 to 7
6,1.9000000000000004,LV,-0.1999999999999993,0,-0.1,0.1,0,TEN,-2.0999999999999996,13,13.6,-0.5999999999999996,0,0 to 3
7,4.400000000000002,SF,-3.6999999999999993,15,18.2,-3.1999999999999993,0,ATL,-8.100000000000001,10,13.4,-3.4000000000000004,0,3 to 7
7,1.3999999999999986,CAR,-4.600000000000001,9,13.3,-4.300000000000001,0,NYJ,-6.0,39,32.9,6.100000000000001,1,0 to 3
7,7.200000000000003,IND,9.100000000000001,38,27.0,11.0,1,LAC,1.8999999999999986,37,28.2,8.8,1,7 to 10
7,16.3,CLE,14.0,13,12.8,0.1999999999999993,0,MIA,-2.3000000000000007,34,27.6,6.399999999999999,1,15+
7,5.6,NE,5.0,32,27.1,4.899999999999999,1,TEN,-0.5999999999999996,14,20.4,-6.399999999999999,0,3 to 7
7,7.400000000000002,CHI,4.300000000000001,16,20.9,-4.899999999999999,0,NO,-3.1000000000000014,3,11.1,-8.1,0,7 to 10
7,1.3000000000000007,NYG,10.0,20,15.8,4.199999999999999,0,DEN,8.7,44,32.3,11.700000000000003,1,0 to 3
7,9.399999999999999,PHI,7.5,38,26.8,11.2,1,MIN,-1.8999999999999986,10,11.1,-1.0999999999999996,0,7 to 10
7,2.099999999999998,PIT,6.199999999999999,25,16.2,8.8,0,CIN,4.100000000000001,38,32.6,5.399999999999999,0,0 to 3
7,17.9,DAL,16.0,24,24.9,-0.8999999999999986,0,WAS,-1.8999999999999986,7,16.2,-9.2,0,15+
8,13.8,BUF,9.5,28,29.2,-1.1999999999999993,1,CAR,-4.300000000000001,16,20.2,-4.199999999999999,1,10 to 15
8,12.0,BAL,7.100000000000001,28,27.5,0.5,1,CHI,-4.899999999999999,47,36.5,10.5,1,10 to 15
8,12.600000000000001,DEN,11.700000000000003,18,18.7,-0.6999999999999993,1,DAL,-0.8999999999999986,17,16.1,0.8999999999999986,0,10 to 15
8,4.5,PIT,8.8,27,22.3,4.699999999999999,1,GB,4.300000000000001,13,20.8,-7.800000000000001,0,3 to 7
8,9.799999999999999,MIA,6.399999999999999,6,16.9,-10.899999999999999,0,ATL,-3.4000000000000004,23,19.1,3.8999999999999986,0,7 to 10
8,9.899999999999999,LAC,8.8,27,27.3,-0.3000000000000007,1,MIN,-1.0999999999999996,27,20.0,7.0,1,7 to 10
8,3.1999999999999993,HOU,0.0,15,15.6,-0.5999999999999996,0,SF,-3.1999999999999993,34,28.7,5.300000000000001,1,3 to 7
8,17.4,IND,11.0,20,24.3,-4.300000000000001,0,TEN,-6.399999999999999,20,11.6,8.4,0,15+
8,11.7,KC,2.5,21,21.1,-0.10000000000000142,0,WAS,-9.2,14,18.1,-4.100000000000001,0,10 to 15
9,1.8999999999999986,ATL,3.8999999999999986,25,25.3,-0.3000000000000007,0,NE,2.0,28,22.9,5.100000000000001,1,0 to 3
9,11.399999999999999,BAL,0.5,27,27.6,-0.6000000000000014,1,MIA,-10.899999999999999,30,22.2,7.800000000000001,1,10 to 15
9,3.6000000000000014,CAR,-4.199999999999999,7,13.8,-6.800000000000001,0,GB,-7.800000000000001,7,15.9,-8.9,0,3 to 7
9,0.09999999999999964,HOU,-0.5999999999999996,36,24.8,11.2,1,DEN,-0.6999999999999993,10,17.2,-7.199999999999999,1,0 to 3
9,9.0,PIT,4.699999999999999,10,14.1,-4.1,0,IND,-4.300000000000001,31,29.8,1.1999999999999993,1,7 to 10
9,0.5,JAX,4.300000000000001,29,15.8,13.2,0,LV,3.8000000000000007,7,13.7,-6.699999999999999,0,0 to 3
9,0.8999999999999986,MIN,7.0,19,20.7,-1.6999999999999993,0,DET,6.100000000000001,44,33.3,10.700000000000003,1,0 to 3
9,4.199999999999999,LA,2.1999999999999993,42,35.8,6.200000000000003,1,NO,-2.0,17,20.1,-3.1000000000000014,1,3 to 7
9,6.899999999999999,SEA,2.799999999999997,44,30.7,13.3,1,WAS,-4.100000000000001,22,20.5,1.5,0,3 to 7
9,5.300000000000001,SF,5.300000000000001,26,26.8,-0.8000000000000007,0,NYG,0.0,20,20.5,-0.5,0,3 to 7
10,11.600000000000001,SEA,13.3,19,22.3,-3.3000000000000007,0,ARI,1.6999999999999993,22,20.9,1.1000000000000014,0,10 to 15
10,1.0999999999999979,BAL,-0.6000000000000014,23,22.0,1.0,1,MIN,-1.6999999999999993,17,21.6,-4.600000000000001,0,0 to 3
10,15.900000000000002,MIA,7.800000000000001,16,23.5,-7.5,1,BUF,-8.100000000000001,44,29.2,14.8,1,15+
10,11.9,NYJ,17.3,14,22.5,-8.5,0,CLE,5.4,16,11.8,4.199999999999999,0,10 to 15
10,9.200000000000003,DET,10.700000000000003,9,15.4,-6.4,0,WAS,1.5,13,23.6,-10.600000000000001,0,7 to 10
10,2.0,JAX,13.2,35,31.5,3.5,1,HOU,11.2,16,20.6,-4.600000000000001,1,0 to 3
10,7.0000000000000036,LA,6.200000000000003,21,17.1,3.8999999999999986,1,SF,-0.8000000000000007,41,30.3,10.7,1,7 to 10
10,0.5,LV,-6.699999999999999,16,18.4,-2.3999999999999986,0,DEN,-7.199999999999999,22,21.3,0.6999999999999993,1,0 to 3
10,7.5,NE,5.100000000000001,27,26.7,0.3000000000000007,1,TB,-2.3999999999999986,32,25.5,6.5,0,7 to 10
10,2.6000000000000014,NYG,-0.5,20,21.6,-1.6000000000000014,0,CHI,-3.1000000000000014,19,23.3,-4.300000000000001,1,0 to 3
10,6.0,PHI,-2.9000000000000004,16,18.0,-2.0,1,GB,-8.9,27,24.2,2.8000000000000007,1,3 to 7
10,7.1,LAC,3.0,6,14.7,-8.7,0,PIT,-4.1,34,22.9,11.100000000000001,1,7 to 10
11,3.1999999999999993,CLE,4.199999999999999,24,16.0,8.0,1,BAL,1.0,23,18.0,5.0,1,3 to 7
11,8.900000000000002,CAR,6.800000000000001,9,15.8,-6.800000000000001,0,ATL,-2.1000000000000014,24,21.3,2.6999999999999993,1,7 to 10
11,0.3000000000000007,CHI,-4.300000000000001,31,22.8,8.2,1,MIN,-4.600000000000001,6,11.5,-5.5,0,0 to 3
11,11.000000000000002,PIT,11.100000000000001,28,25.9,2.1000000000000014,0,CIN,0.09999999999999964,20,19.9,0.10000000000000142,0,10 to 15
11,7.0,DAL,4.600000000000001,24,25.8,-1.8000000000000007,1,LV,-2.3999999999999986,10,12.5,-2.5,0,3 to 7
11,4.4,PHI,-2.0,21,20.9,0.10000000000000142,0,DET,-6.4,34,28.8,5.199999999999999,1,3 to 7
11,4.400000000000002,GB,2.8000000000000007,23,25.1,-2.1000000000000014,1,NYG,-1.6000000000000014,27,22.0,5.0,0,3 to 7
11,2.3000000000000007,TEN,-2.3000000000000007,24,10.8,13.2,0,HOU,-4.600000000000001,23,20.6,2.3999999999999986,1,0 to 3
11,8.8,NE,0.3000000000000007,26,23.9,2.1000000000000014,1,NYJ,-8.5,10,16.6,-6.600000000000001,0,7 to 10
11,7.199999999999999,LA,3.8999999999999986,34,30.5,3.5,1,SEA,-3.3000000000000007,30,24.5,5.5,1,7 to 10
11,9.599999999999998,SF,10.7,20,21.5,-1.5,1,ARI,1.1000000000000014,24,23.1,0.8999999999999986,0,7 to 10
11,8.3,BUF,14.8,19,18.1,0.8999999999999986,0,TB,6.5,7,11.6,-4.6,0,7 to 10
