player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Luke Kornet,player_rebounds,5.5,-136,fanduel,0.576271186440678,09:49:41 PM ET,170,bovada,0.37037037037037035,09:50:25 PM ET,0.9466415568110483,5.636604774535803,True,60.88,39.12,105.64,105.62,5.62,100.0,"Bet $60.88 Over @ fanduel, $39.12 Under @ bovada",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,4,1.1446624333333333,0.4113291,1.1446624333333333,False,,2025-12-23 21:50:49 ET
Shai Gilgeous-Alexander,player_assists,7.5,200,bovada,0.33333333333333337,09:50:25 PM ET,-159,williamhill_us,0.6138996138996139,09:50:36 PM ET,0.9472329472329473,5.570652173913038,True,35.19,64.81,105.57,105.57,5.57,100.0,"Bet $35.19 Over @ bovada, $64.81 Under @ williamhill_us",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,3,0.4113291,0.22799576666666665,0.4113291,False,,2025-12-23 21:50:49 ET
Donte DiVincenzo,player_threes,2.5,-144,fanduel,0.5901639344262295,09:50:01 PM ET,180,bovada,0.35714285714285715,09:48:08 PM ET,0.9473067915690867,5.562422744128548,True,62.3,37.7,105.56,105.56,5.56,100.0,"Bet $62.30 Over @ fanduel, $37.70 Under @ bovada",New York Knicks @ Minnesota Timberwolves,2025-12-24T01:11:00Z,True,4,0.8113291,2.6946624333333333,2.6946624333333333,True,bovada,2025-12-23 21:50:49 ET
Stephon Castle,player_points,14.5,-118,fanduel,0.5412844036697247,09:49:41 PM ET,145,bovada,0.40816326530612246,09:50:25 PM ET,0.9494476689758472,5.3243936107276735,True,57.01,42.99,105.32,105.33,5.32,100.0,"Bet $57.01 Over @ fanduel, $42.99 Under @ bovada",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,2,1.1446624333333333,0.4113291,1.1446624333333333,False,,2025-12-23 21:50:49 ET
Brandon Williams,player_points,10.5,116,fanduel,0.462962962962963,09:49:06 PM ET,105,bovada,0.4878048780487805,09:46:25 PM ET,0.9507678410117435,5.1781472684085506,True,48.69,51.31,105.17,105.19,5.17,100.0,"Bet $48.69 Over @ fanduel, $51.31 Under @ bovada",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:11:00Z,True,2,1.7279957666666665,4.411329100000001,4.411329100000001,True,bovada,2025-12-23 21:50:49 ET
Santi Aldama,player_rebounds,7.5,105,bovada,0.48780487804878053,09:49:08 PM ET,116,fanduel,0.46296296296296297,09:50:25 PM ET,0.9507678410117435,5.1781472684085506,True,51.31,48.69,105.19,105.17,5.17,100.0,"Bet $51.31 Over @ bovada, $48.69 Under @ fanduel",Memphis Grizzlies @ Utah Jazz,2025-12-24T02:12:00Z,True,5,1.6946624333333333,0.4113291,1.6946624333333333,False,,2025-12-23 21:50:49 ET
Coby White,player_points,20.5,120,fanatics,0.4545454545454546,09:46:10 PM ET,100,bovada,0.5,09:50:02 PM ET,0.9545454545454546,4.761904761904767,True,47.62,52.38,104.76,104.76,4.76,100.0,"Bet $47.62 Over @ fanatics, $52.38 Under @ bovada",Chicago Bulls @ Atlanta Hawks,2025-12-24T00:41:00Z,True,3,4.661329100000001,0.7946624333333333,4.661329100000001,True,fanatics,2025-12-23 21:50:49 ET
Scottie Barnes,player_rebounds,8.5,114,fanduel,0.4672897196261683,09:43:09 PM ET,105,bovada,0.4878048780487805,09:48:08 PM ET,0.9550945976749488,4.701670644391398,True,48.93,51.07,104.71,104.69,4.69,100.0,"Bet $48.93 Over @ fanduel, $51.07 Under @ bovada",Toronto Raptors @ Miami Heat,2025-12-24T00:45:00Z,True,2,7.677995766666667,2.6946624333333333,7.677995766666667,True,"fanduel, bovada",2025-12-23 21:50:49 ET
Myles Turner,player_points,12.5,104,fanduel,0.49019607843137253,09:44:12 PM ET,115,bovada,0.46511627906976744,09:49:04 PM ET,0.95531235750114,4.6778042959427335,True,51.31,48.69,104.67,104.68,4.67,100.0,"Bet $51.31 Over @ fanduel, $48.69 Under @ bovada",Milwaukee Bucks @ Indiana Pacers,2025-12-24T00:41:00Z,True,2,6.627995766666667,1.7613291,6.627995766666667,True,fanduel,2025-12-23 21:50:49 ET
LeBron James,player_threes,1.5,-145,bovada,0.5918367346938775,09:49:58 PM ET,175,draftkings,0.36363636363636365,09:50:49 PM ET,0.9554730983302412,4.660194174757271,True,61.94,38.06,104.66,104.66,4.66,100.0,"Bet $61.94 Over @ bovada, $38.06 Under @ draftkings",Los Angeles Lakers @ Phoenix Suns,2025-12-24T02:11:00Z,True,3,0.8613291000000001,0.0113291,0.8613291000000001,False,,2025-12-23 21:50:49 ET
Anthony Davis,player_rebounds,9.5,-158,fanduel,0.6124031007751938,09:49:06 PM ET,190,bovada,0.3448275862068966,09:46:25 PM ET,0.9572306869820904,4.468025691147726,True,63.98,36.02,104.47,104.46,4.46,100.0,"Bet $63.98 Over @ fanduel, $36.02 Under @ bovada",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:11:00Z,True,2,1.7279957666666665,4.411329100000001,4.411329100000001,True,bovada,2025-12-23 21:50:49 ET
