player,game,game_time,market,line,bookmaker,under_odds,over_odds
De'Andre Hunter,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,fanduel,-170,132
Nikola Vucevic,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,fanduel,112,-142
Coby White,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,fanduel,114,-146
Zach LaVine,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,3.5,fanduel,-174,136
Trae Young,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,fanduel,-102,-125
Ayo Dosunmu,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,bovada,-135,105
Nikola Vucevic,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,bovada,110,-145
Trae Young,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,bovada,-110,-120
Zach LaVine,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,bovada,130,-170
Cameron Johnson,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,3.5,draftkings,-125,-105
Dorian Finney-Smith,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,1.5,draftkings,145,-188
Dorian Finney-Smith,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,1.5,williamhill_us,133,-184
Cameron Johnson,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,3.5,williamhill_us,-137,100
Giannis Antetokounmpo,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,0.5,williamhill_us,-479,300
Cameron Johnson,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,3.5,betmgm,-135,100
Dorian Finney-Smith,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,1.5,betmgm,140,-190
Giannis Antetokounmpo,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,0.5,betmgm,-450,310
Cameron Johnson,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,3.5,fanduel,-132,104
Dorian Finney-Smith,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,1.5,betonlineag,142,-185
Cameron Johnson,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,3.5,betonlineag,-128,-101
Cameron Johnson,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,3.5,bovada,-135,105
Dorian Finney-Smith,Brooklyn Nets @ Milwaukee Bucks,2024-12-27T01:10:00Z,player_threes,1.5,bovada,145,-190
C.J. McCollum,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,2.5,draftkings,110,-140
Jalen Green,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,2.5,draftkings,-110,-120
Jabari Smith Jr,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,draftkings,124,-160
Dejounte Murray,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,draftkings,120,-154
Herb Jones,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,draftkings,-166,130
Dejounte Murray,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,williamhill_us,116,-160
C.J. McCollum,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,2.5,williamhill_us,-103,-133
Herb Jones,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,williamhill_us,-194,139
Herb Jones,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,betmgm,-190,140
Dejounte Murray,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,betmgm,115,-155
C.J. McCollum,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,2.5,betmgm,100,-135
Herb Jones,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,fanduel,-180,140
C.J. McCollum,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,2.5,fanduel,106,-136
Fred VanVleet,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,2.5,fanduel,-125,-102
Dejounte Murray,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,fanduel,126,-162
Jabari Smith Jr,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,fanduel,120,-154
Jalen Green,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,2.5,fanduel,102,-130
Herb Jones,Houston Rockets @ New Orleans Pelicans,2024-12-27T01:10:00Z,player_threes,1.5,betonlineag,-182,139
