School,Nickname,Conference,team_name_espn
Western Carolina University,Catamounts,Southern,Western Carolina Catamounts
Wofford College,Terriers,Southern,Wofford College Terriers
East Texas A&M University,Lions,Southland,East Texas A&M Lions
Houston Christian University (HCU),Huskies,Southland,Houston Christian (HCU) Huskies
University of the Incarnate Word (UIW),Cardinals,Southland,the Incarnate Word (UIW) Cardinals
Lamar University,Cardinals,Southland,Lamar Cardinals
McNeese State University (McNeese),Cowboys,Southland,McNeese State (McNeese) Cowboys
University of New Orleans,Privateers,Southland,New Orleans Privateers
Nicholls State University (Nicholls),Colonels,Southland,Nicholls State (Nicholls) Colonels
Northwestern State University,Demons,Southland,Northwestern State Demons
Southeastern Louisiana University,Lions,Southland,Southeastern Louisiana Lions
"Stephen F. Austin State University (Stephen F. Austin, SFA)",Lumberjacks,Southland,"Stephen F. Austin State (Stephen F. Austin, SFA) Lumberjacks"
Texas A&M University-Corpus Christi,Islanders,Southland,Texas A&M -Corpus Christi Islanders
University of Texas Rio Grande Valley (UTRGV),Vaqueros,Southland,Texas Rio Grande Valley (UTRGV) Vaqueros
Alabama Agricultural and Mechanical University (Alabama A&M),Bulldogs,SWAC,Alabama Agricultural and Mechanical (Alabama A&M) Bulldogs
Alabama State University,Hornets,SWAC,Alabama State Hornets
Alcorn State University,Braves,SWAC,Alcorn State Braves
"University of Arkansas at Pine Bluff (Arkansas–Pine Bluff, UAPB)",Golden Lions,SWAC,"Arkansas at Pine Bluff (Arkansas–Pine Bluff, UAPB) Golden Lions"
Bethune–Cookman University,Wildcats,SWAC,Bethune–Cookman Wildcats
"Florida Agricultural and Mechanical University (Florida A&M, FAMU)",Rattlers,SWAC,"Florida Agricultural and Mechanical (Florida A&M, FAMU) Rattlers"
Grambling State University,Tigers,SWAC,Grambling State Tigers
Jackson State University,Tigers,SWAC,Jackson State Tigers
Mississippi Valley State University,Delta Devils,SWAC,Mississippi Valley State Delta Devils
Prairie View A&M University,Panthers,SWAC,Prairie View A&M Panthers
Southern University,Jaguars,SWAC,Southern Jaguars
Texas Southern University,Tigers,SWAC,Texas Southern Tigers
University of Denver,Pioneers,The Summit[o],Denver Pioneers
University of Missouri–Kansas City (Kansas City),Roos,The Summit,Missouri–Kansas City (Kansas City) Roos
University of North Dakota,Fighting Hawks,The Summit,North Dakota Fighting Hawks
North Dakota State University (NDSU),Bison,The Summit,North Dakota State (NDSU) Bison
University of Nebraska Omaha (Omaha),Mavericks,The Summit,Nebraska Omaha (Omaha) Mavericks
Oral Roberts University,Golden Eagles,The Summit,Oral Roberts Golden Eagles
University of St. Thomas,Tommies,The Summit,St. Thomas Tommies
University of South Dakota,Coyotes,The Summit,South Dakota Coyotes
South Dakota State University,Jackrabbits,The Summit,South Dakota State Jackrabbits
Appalachian State University,Mountaineers,Sun Belt,Appalachian State Mountaineers
Arkansas State University,Red Wolves,Sun Belt,Arkansas State Red Wolves
Coastal Carolina University,Chanticleers,Sun Belt,Coastal Carolina Chanticleers
Georgia Southern University,Eagles,Sun Belt,Georgia Southern Eagles
Georgia State University,Panthers,Sun Belt,Georgia State Panthers
James Madison University (JMU),Dukes,Sun Belt,James Madison (JMU) Dukes
University of Louisiana at Lafayette (Louisiana),Ragin' Cajuns,Sun Belt,Louisiana at Lafayette (Louisiana) Ragin' Cajuns
University of Louisiana at Monroe (Louisiana–Monroe or ULM),Warhawks,Sun Belt,Louisiana at Monroe (Louisiana–Monroe or ULM) Warhawks
Marshall University,Thundering Herd,Sun Belt,Marshall Thundering Herd
Old Dominion University,Monarchs,Sun Belt,Old Dominion Monarchs
University of South Alabama,Jaguars,Sun Belt,South Alabama Jaguars
University of Southern Mississippi (Southern Miss),Golden Eagles,Sun Belt,Southern Mississippi (Southern Miss) Golden Eagles
Texas State University,Bobcats,Sun Belt[i],Texas State Bobcats
Troy University,Trojans,Sun Belt,Troy Trojans
Gonzaga University,Bulldogs,West Coast[i],Gonzaga Bulldogs
Loyola Marymount University,Lions,West Coast,Loyola Marymount Lions
Oregon State University,Beavers,West Coast[p],Oregon State Beavers
University of the Pacific,Tigers,West Coast,the Pacific Tigers
Pepperdine University,Waves,West Coast,Pepperdine Waves
University of Portland,Pilots,West Coast,Portland Pilots
Saint Mary's College of California (Saint Mary's),Gaels,West Coast,Saint Mary's California (Saint Mary's) Gaels
University of San Diego,Toreros,West Coast,San Diego Toreros
University of San Francisco,Dons,West Coast,San Francisco Dons
Santa Clara University,Broncos,West Coast,Santa Clara Broncos
Seattle University,Redhawks,West Coast,Seattle Redhawks
Washington State University,Cougars,West Coast[p],Washington State Cougars
Abilene Christian University,Wildcats,WAC[q],Abilene Christian Wildcats
California Baptist University (CBU),Lancers,WAC[c],California Baptist (CBU) Lancers
Southern Utah University,Thunderbirds,WAC[r],Southern Utah Thunderbirds
Tarleton State University (alternately Tarleton),Texans,WAC[q],Tarleton State (alternately Tarleton) Texans
Utah Tech University,Trailblazers,WAC[r],Utah Tech Trailblazers
Utah Valley University,Wolverines,WAC[c],Utah Valley Wolverines
University of Texas at Arlington (UT Arlington),Mavericks,WAC[q],Texas at Arlington (UT Arlington) Mavericks
